iteration,best_fitness,avg_fitness,best_n_features,global_best_fitness
1,0.3073198144400951,0.2692061744034887,30,0.3073198144400951
2,0.2911272000017008,0.2691575259846546,34,0.3073198144400951
3,0.29114914151090293,0.2668872102356715,32,0.3073198144400951
4,0.294295519844555,0.2731679199755395,41,0.3073198144400951
5,0.28302466407218463,0.2667784229400611,41,0.3073198144400951
6,0.2847925289498435,0.26448326342145984,37,0.3073198144400951
7,0.29066740559905696,0.27179021648129364,37,0.3073198144400951
8,0.28618031780540515,0.27249097902293357,36,0.3073198144400951
9,0.2850932481894492,0.2739125760822911,37,0.3073198144400951
10,0.2918035960785073,0.2724709293434817,38,0.3073198144400951
11,0.28703253464503137,0.2742345882740342,39,0.3073198144400951
12,0.2853736775371899,0.2734970306508212,36,0.3073198144400951
13,0.2853736775371899,0.2766336710650886,36,0.3073198144400951
14,0.2853736775371899,0.27539611996961944,36,0.3073198144400951
15,0.2853736775371899,0.27663291320508815,36,0.3073198144400951
16,0.2853736775371899,0.27692284068177614,36,0.3073198144400951
17,0.28903565371086554,0.2761697410762245,39,0.3073198144400951
18,0.2826471534187482,0.27531005892203025,37,0.3073198144400951
19,0.2826471534187482,0.2781841726728317,37,0.3073198144400951
20,0.28004975082134564,0.27724548606220434,38,0.3073198144400951
21,0.28991264294627456,0.27756339028914134,37,0.3073198144400951
22,0.2826471534187482,0.2778589186411231,37,0.3073198144400951
23,0.28335757965028796,0.2785754615436398,41,0.3073198144400951
24,0.2820211937050354,0.27778789744790283,38,0.3073198144400951
25,0.2798633417884674,0.27415799270469693,38,0.3073198144400951
26,0.2798633417884674,0.27705394004775663,38,0.3073198144400951
27,0.2798633417884674,0.2759580761857369,38,0.3073198144400951
28,0.2826471534187482,0.2775687477344512,37,0.3073198144400951
29,0.28358377418712455,0.2773832922926728,38,0.3073198144400951
30,0.2798633417884674,0.2772948984098881,38,0.3073198144400951
