feature,mi_score,rank
Average Packet Size,0.5887266539824423,1
Packet Length Mean,0.5608964697719474,2
Packet Length Std,0.5579792035023075,3
Packet Length Variance,0.5570320589534652,4
Subflow Bwd Bytes,0.4985987144588777,5
Total Length of Bwd Packets,0.49841418004089566,6
Init_Win_bytes_forward,0.49728392429497537,7
Avg Bwd Segment Size,0.4907231885133949,8
Bwd Packet Length Mean,0.4905925939017872,9
Total Length of Fwd Packets,0.48571418121964327,10
Subflow Fwd Bytes,0.48567937389454574,11
Bwd Packet Length Max,0.4572448892140957,12
Max Packet Length,0.45347631023903623,13
Init_Win_bytes_backward,0.44808930703275385,14
Fwd Packet Length Max,0.43891208184529984,15
Flow IAT Max,0.43707813221946146,16
Destination Port,0.43559904405101735,17
Flow Bytes/s,0.42471065379774187,18
Flow Duration,0.4228467452139999,19
Fwd IAT Max,0.4119802553776237,20
Fwd Packet Length Mean,0.4015646157494104,21
Avg Fwd Segment Size,0.4015498859442481,22
Fwd Header Length,0.4013856170844856,23
Fwd Packets/s,0.39651161525181,24
Fwd IAT Total,0.39443887997081584,25
Flow Packets/s,0.38970282369055553,26
Flow IAT Mean,0.38603339953680815,27
Bwd Packets/s,0.3846349624360579,28
Fwd IAT Mean,0.38054094936199623,29
Bwd Header Length,0.37995456220588486,30
min_seg_size_forward,0.3495948503087809,31
Bwd Packet Length Std,0.32494904907332,32
Fwd Packet Length Std,0.31633996899603645,33
Flow IAT Std,0.31584429662943725,34
Fwd IAT Std,0.29396602722626697,35
Bwd IAT Max,0.27865377353677445,36
Total Backward Packets,0.269935055508173,37
Subflow Bwd Packets,0.2690741007162807,38
Bwd IAT Total,0.261867194290077,39
Bwd IAT Mean,0.2468428691327056,40
Subflow Fwd Packets,0.24523605704259155,41
Total Fwd Packets,0.24507227029359435,42
Bwd Packet Length Min,0.22564176428205762,43
Down/Up Ratio,0.21426755546127696,44
Idle Max,0.2044579115709757,45
Idle Min,0.20057313638287333,46
Idle Mean,0.1998104164711052,47
Fwd IAT Min,0.19525343182431842,48
Bwd IAT Std,0.19425376557297303,49
Active Mean,0.1932382300310589,50
Active Max,0.19131003946470004,51
Active Min,0.19076310629136728,52
Bwd IAT Min,0.18659794679319464,53
Min Packet Length,0.18431100562555058,54
Fwd Packet Length Min,0.18065704962750662,55
act_data_pkt_fwd,0.1721648295166116,56
Flow IAT Min,0.17178843209363515,57
PSH Flag Count,0.15238249001155113,58
ACK Flag Count,0.12144857939355314,59
Idle Std,0.03816722099670167,60
FIN Flag Count,0.03616336941926224,61
URG Flag Count,0.034805622005779524,62
Active Std,0.020598039873606533,63
Fwd PSH Flags,0.018799068414651066,64
SYN Flag Count,0.01849429211988718,65
Bwd URG Flags,0.00046737716413214336,66
Fwd URG Flags,0.00045170410799788563,67
Fwd Avg Bytes/Bulk,0.0003617519857241902,68
ECE Flag Count,0.00021039257968546998,69
Bwd Avg Packets/Bulk,4.235578452105315e-05,70
Bwd PSH Flags,0.0,71
Bwd Avg Bulk Rate,0.0,72
Bwd Avg Bytes/Bulk,0.0,73
RST Flag Count,0.0,74
CWE Flag Count,0.0,75
Fwd Avg Bulk Rate,0.0,76
Fwd Avg Packets/Bulk,0.0,77
