predicted_label,true_label,prob_attack,confidence,traffic_density,risk_score,risk_level,true_is_attack
FTP-Patator,BENIGN,1.0,0.9913,0.0134,71.06,High,False
Web Attack - SQL Injection,BENIGN,1.0,0.926,0.0001,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
FTP-Patator,BENIGN,1.0,0.9939,0.0254,71.06,High,False
FTP-Patator,BENIGN,1.0,0.997,0.0425,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9881,0.016,71.06,High,False
PortScan,BENIGN,1.0,0.9912,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,1.0,0.0002,71.06,High,False
SSH-Patator,BENIGN,1.0,0.996,0.0003,71.06,High,False
SSH-Patator,BENIGN,1.0,1.0,0.0002,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9237,0.0006,71.06,High,False
SSH-Patator,BENIGN,1.0,0.967,0.0006,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9991,0.0821,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9998,0.0001,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9979,0.0002,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9767,0.0002,71.06,High,False
PortScan,BENIGN,1.0,0.207,0.002,42.5,Medium,False
FTP-Patator,BENIGN,1.0,0.9444,0.017,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9998,0.1141,71.06,High,False
BENIGN,BENIGN,0.2168,0.5709,0.0,19.57,Low,False
SSH-Patator,BENIGN,1.0,0.9627,0.0005,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9998,0.1524,71.06,High,False
DDoS,BENIGN,1.0,0.0119,0.0012,42.5,Medium,False
FTP-Patator,BENIGN,1.0,0.9986,0.0717,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9998,0.0008,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9885,0.0008,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9557,0.0005,71.06,High,False
DoS slowloris,BENIGN,0.9999,0.9997,0.0,71.06,High,False
Web Attack - SQL Injection,BENIGN,1.0,1.0,0.0001,71.06,High,False
Bot,BENIGN,0.9874,0.9748,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9994,0.0917,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.8596,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.6962,0.0,69.93,High,False
Web Attack - Brute Force,BENIGN,1.0,1.0,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,1.0,0.0004,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9997,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9986,0.0712,71.06,High,False
DoS slowloris,BENIGN,0.9077,0.8064,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9988,0.086,71.06,High,False
SSH-Patator,BENIGN,1.0,0.7222,0.0009,70.94,High,False
FTP-Patator,BENIGN,1.0,0.999,0.0894,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9996,0.0998,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9816,0.0003,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9916,0.0004,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9663,0.0006,71.06,High,False
DoS slowloris,BENIGN,0.9999,0.9997,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9988,0.0747,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
FTP-Patator,BENIGN,1.0,0.9996,0.0995,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9773,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9771,0.0002,71.06,High,False
BENIGN,BENIGN,0.0,1.0,1.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9997,0.0001,71.06,High,False
PortScan,BENIGN,1.0,0.9904,0.003,71.06,High,False
Bot,BENIGN,1.0,0.9999,0.0097,71.06,High,False
PortScan,BENIGN,1.0,0.5467,0.0,42.5,Medium,False
SSH-Patator,BENIGN,1.0,0.9836,0.0003,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9987,0.0725,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
BENIGN,BENIGN,0.0,1.0,0.0,42.5,Medium,False
PortScan,BENIGN,1.0,0.5826,0.0,48.05,Medium,False
FTP-Patator,BENIGN,1.0,0.9885,0.0254,71.06,High,False
DoS slowloris,BENIGN,1.0,0.8446,0.0,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9768,0.0,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9755,0.0442,71.06,High,False
PortScan,BENIGN,1.0,0.4247,0.0099,42.5,Medium,False
FTP-Patator,BENIGN,1.0,1.0,0.3243,72.17,High,False
DDoS,BENIGN,1.0,0.9996,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9778,0.0001,71.06,High,False
BENIGN,BENIGN,0.0,1.0,1.0,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0002,42.5,Medium,False
Bot,BENIGN,1.0,0.9998,0.018,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9811,0.0003,71.06,High,False
BENIGN,BENIGN,0.0,1.0,0.0202,42.5,Medium,False
SSH-Patator,BENIGN,1.0,0.9775,0.0002,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9993,0.091,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9983,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9865,0.0001,71.06,High,False
PortScan,BENIGN,1.0,0.9919,0.0068,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9783,0.0001,71.06,High,False
FTP-Patator,BENIGN,1.0,0.9998,0.1113,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9925,0.0003,71.06,High,False
Web Attack - Brute Force,BENIGN,1.0,0.9997,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9987,0.0003,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9753,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9989,0.0001,71.06,High,False
PortScan,BENIGN,1.0,0.7941,0.0,71.06,High,False
Bot,BENIGN,1.0,0.1056,0.0106,42.5,Medium,False
FTP-Patator,BENIGN,1.0,0.9728,0.0197,71.06,High,False
DoS slowloris,BENIGN,1.0,0.1707,0.0,42.5,Medium,False
SSH-Patator,BENIGN,1.0,0.9718,0.0008,71.06,High,False
DoS GoldenEye,BENIGN,1.0,1.0,0.0,71.06,High,False
PortScan,BENIGN,1.0,0.1093,0.0,42.5,Medium,False
SSH-Patator,BENIGN,1.0,0.721,0.0,70.94,High,False
DoS GoldenEye,BENIGN,1.0,1.0,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9767,0.0,71.06,High,False
DoS GoldenEye,BENIGN,1.0,0.9999,0.0,71.06,High,False
SSH-Patator,BENIGN,1.0,0.9774,0.0,71.06,High,False
