feature
Destination Port
Total Length of Fwd Packets
Total Length of Bwd Packets
Fwd Packet Length Max
Fwd Packet Length Mean
Fwd Packet Length Std
Bwd Packet Length Max
Bwd Packet Length Mean
Bwd Packet Length Std
Flow Bytes/s
Flow Packets/s
Flow IAT Mean
Flow IAT Std
Flow IAT Max
Fwd IAT Total
Fwd IAT Mean
Fwd IAT Std
Fwd IAT Max
Fwd IAT Min
Bwd IAT Std
Bwd IAT Max
Fwd Header Length
Bwd Packets/s
Max Packet Length
Packet Length Mean
Packet Length Std
Packet Length Variance
Down/Up Ratio
Average Packet Size
Avg Fwd Segment Size
Avg Bwd Segment Size
Subflow Fwd Packets
Subflow Fwd Bytes
Init_Win_bytes_forward
Init_Win_bytes_backward
